,rating,review,title,isEdited,date,userName,developerResponse,brand
40,3,After i put in my details it don’t not sure the option to put the OTP CODE,Code,False,2021-09-09 05:46:00,dika$96,,abeg
41,2,"Can someone tell me why I recharged and haven’t seen it for more than 24 hours 
Thus ya really insane !.",Airtime,False,2021-08-17 16:21:15,sobsongold,,abeg
42,1,I can’t verify my account it keeps saying it has the wrong bvn Data please what can I do help me out,Unable to verify,False,2021-07-30 20:07:41,Dorkyolorin,"{'id': 24290036, 'body': 'Hello, we will love to help you resolve this, Please send an email to hello@abeg.app stating your issue and we will help out immediately.', 'modified': '2021-08-03T12:50:33Z'}",abeg
43,1,I withdrew  my money yesterday night n I have not seen alert till now y,I have not seen alert,False,2021-09-05 06:57:55,shantel ziva,,abeg
44,1,Why is it sending otp to a different number instead on my own personal number for my bvn verification?,Bvn,False,2021-08-21 08:08:31,ubbbbffhv,,abeg
45,1,They don’t allow someone to make payment,Too bad I can’t make payment,False,2021-08-11 16:43:28,timmy gramm,,abeg
46,2,"How is it possible i got two account number 
One for wema bank and one for vfb
What’s going on",Hi,False,2021-09-12 08:59:24,rotimi11111111,,abeg
47,1,Some sent money to my Abeg account since Tuesday night and it doesn’t show up on my Abeg account😡😡,Rubbish👿,False,2021-09-03 11:49:58,wtf🎧🎧🎧🎧🎧,,abeg
48,1,"I initiated withdrawal of #2200 since two days ago, and I’m yet to get credited, hope I don’t just get scammed",Withdrawal issue 😡😡,False,2021-08-17 16:08:14,carbonsam4,,abeg
49,4,Abeg is a scam app don’t download it,Abeg is a scam don’t download it,False,2021-08-26 05:11:09,@DavidO,,abeg
50,2,I tried clicking verify with bvn it’s not selecting and I can’t proceed,Unable to verify,False,2021-08-04 13:33:34,Turheeb,,abeg
51,1,My 3k gone missing with you,Not reliable,False,2021-08-31 06:33:01,hlktdvnkuu,,abeg
52,1,"The proceed and close buttons are entangled so I can’t proceed with registration 
Abeg fix this so please can enjoy the app",Error,False,2021-08-03 11:27:00,my name is kojokok,"{'id': 24290102, 'body': 'Hello, We are glad to inform you that the issue with registration has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app', 'modified': '2021-08-03T12:53:06Z'}",abeg
53,1,Two factor security is supposed to be programmed in the app to avoid an unknown operation on someone's account,Correction,False,2021-08-13 10:08:55,Crown👑Starz,,abeg
54,1,I can’t create a security why,I can’t create a security why,False,2021-08-02 01:07:41,HON.QDOT,"{'id': 24289435, 'body': ""Hello, we'd love to help you. Please send an email to hello@abeg.app and our team will help resolve your issue quickly.\n\n"", 'modified': '2021-08-03T12:26:58Z'}",abeg
55,1,This app is a scam after you fund your wallet there is no way you can withdraw your fund,SCAM ALERT,False,2021-04-26 21:39:43,Mykel cee,"{'id': 24290300, 'body': 'Hello, We are glad to inform you that the issue with withdrawals has been sorted out. Please uninstall the app and try again. If you still have more questions, please send an email to hello@abeg.app', 'modified': '2021-08-03T13:00:45Z'}",abeg
56,1,"Please abeg I cant signup on the abeg app on my iPhone, kindly attend to this.",Unable to work,False,2021-08-21 06:31:19,motor132,,abeg
57,4,It’s d best,I love it,False,2021-08-08 18:57:17,Etzoptimum,,abeg
58,1,Theif!!!! That's what you guys are!!!!!!,Disappeared money,False,2021-08-13 15:46:41,Affluent7394,,abeg
59,1,I’ve been trying to send an OTP to my registered number so I can verify my BVN. But the app has refused to send the code. This is not how Cashapp does o.,Unimpressed,False,2021-08-23 22:11:01,she_argr,,abeg
60,4,Hi I’m having issues with getting code for my OTP either it comes after 10 minutes or it won’t even show up at all if I try to click on resend that also don’t work please what going on and you know without that I can’t do anything right,Complain,False,2021-08-04 19:12:38,blackmanoluwatobi,,abeg
61,1,"There are scammer and not registered by CBN , I  and my friend bought card of #13000 and don’t got the card on our phone 

Beware 🙏🏾🏴‍☠️",Scammers,False,2021-08-12 15:17:04,tinobillz,,abeg
62,5,I am trying to register but didn’t get code,Registration,False,2021-08-04 20:16:30,Demmy OG,,abeg
63,1,"I tried verifying with my bvn many times and I don’t receive any code after putting my bvn 
I don’t understand this app

I was even thinking of trying the app because I watched big brother tv show and I saw the app and it caught my attention 
Now I’m having difficulties in linking my bvn to verify",Verification issue and trust issue,False,2021-08-04 20:12:44,OLB YRN,,abeg
64,5,"Came here cause of don jazzy, app is really good.
Twitter handle @karo_manuel",Don baba J,False,2021-07-26 17:40:25,Warripikin,"{'id': 24290834, 'body': 'Thank you, Please recommend us to your friends and family💜', 'modified': '2021-08-03T13:23:35Z'}",abeg
65,1,I can’t create an account..after I put in my Bvn and verification code ..it keeps saying loading loading loading for hours..nothing works ..hope my bank account is safe,Account creation issues,False,2021-08-01 13:49:46,lolasusan,"{'id': 24290898, 'body': 'Hello, your information is very safe with us, we are glad to inform you that this issue has been sorted out. Please uninstall your app and try again. if you still more questions, please send an email to hello@abeg.app', 'modified': '2021-08-03T13:27:23Z'}",abeg
0,4,"I've used Barter since the first web-only version was launched, and now the mobile app has more or less replaced my bank app. The thing I love the most about Barter is how it simplifies difficult things and makes it easy to send money to anyone anywhere in the world. I've taken to insisting that all my friends and family use Barter for money requests. 

The app lets you buy airtime, pay certain utility bills, and send money to any bank account anywhere in the world. My favorite features are the ability to create virtual Visa Dollar cards as well as the nearby feature which lets you send money to people near you. I switched my app store to the US store and now use my dollar card to pay for everything, from Apple Music to in-app purchase to subscriptions. 

Also, the ability to request money is a godsend!!!! I've found it especially helpful because I do not like confrontation and would rather not ask when someone owes me money. 

Last thing, bank transfers are cheaper when you do local transfers. I'm just saying.",This App Is A Lifesaver!,False,2019-01-17 10:03:39,Ash is impressed,,flutterwave
1,5,"I don’t usually do this and so far I have seen people with the app on the phone but don’t use it cause  been scared they could loose out their money , well good enough I have conducted transactions worth millions of naira and leave the millions hanging in the account and still can use it well the spending limit makes spenders like us remember I can run out of my own money when it’s there but can’t spend it so it makes me even more reasonably considerate on spending money ,  I am a proud user and I love you BARTER and the entire team but keep improving for better please ! Let’s critics talk all they want you are my own best financial service app!!!",Great Great service app!,False,2021-08-28 09:20:44,aD3bAYo,"{'id': 24783778, 'body': 'Dear friend, we are really glad that you like our product. Your support and voice are very important to us.\n\n', 'modified': '2021-08-29T17:54:46Z'}",flutterwave
2,4,"The app generally works well and the cards are super reliable. The only sticking point for me is the “transactions” tab that never works. Goes into an infinite loop and eventually crashes the app. Support could be better too, takes forever to get a response.",Good option for online payments,False,2019-09-05 17:25:41,realayo,"{'id': 10566825, 'body': 'All inconveniences duly regretted. Please send us an email via hi@flutterwavego.com for real time support. We are always happy to assist.', 'modified': '2019-09-07T19:04:17Z'}",flutterwave
3,1,"It’s funny how you never have a problem funding the barter account but always have a problem withdrawing from the account. I opened my first barter account, I funded it, then I am asked to provide my bvn for verification I did, it shows successful but still anytime I want to authenticate a transaction the bvn verification box still always pops up, the exact same cycle over and over again. I resulted to opening another account, I made a transaction and got debited on my bank account but it didn’t reflect on my barter account. My funds got freezes in both of the barter accounts I created. I could boldly say this is a scam and it should be taken down down so many more people don’t fall victim, my poor review and rating are subjected to review if I get an immideate response and solution.",Pathetic my funds are hanging in the app,False,2020-06-17 14:43:54,Osobu Badejo,"{'id': 16067724, 'body': 'Hi Osobu, We would like to chat with you with regard to your experience with us. Can you provide us your emails at hi@flutterwavego.com so that we can reach out and further advise?\n\nWe look forward to your response.\n\nRegards,', 'modified': '2020-06-18T09:34:21Z'}",flutterwave
4,1,"I started with Alat, all went well for a while then it just stopped working. I learnt of Barter on a blog, installed it as well, found out it was still affiliated to Wema bank, shrugged my shoulders and gave it a shot anyway. Started well, until I found out the hard way that US dollars added at current exchange rate, could only be withdrawn at a significantly lower rate, well the bloody banks are pretty much running the same scam. Now, the app has also gone the way of Alat, it isn’t just working. Thank God I withdrew most of what I had there in time, leaving the equivalent of just $2. I think i’ll just stick to my physical card backed by a more serious bank. Goodbye Alat or Barter, or whatever new name you guys are gonna call yourselves.","Alat, Barter...same crap, different day",False,2020-12-03 19:48:02,BasseyOrthopod,"{'id': 19643228, 'body': 'Hello Bassey, we will like to assure you that Barter is a product of Fluttterwave, Not WEMA, the WEMA bank account option is strictly for funding your wallet, we deeply apologize for the less than satisfactory experience.', 'modified': '2020-12-09T10:15:10Z'}",flutterwave
5,5,"I love how I’m able to do transactions in Naira easily despite moving away from Nigeria. In addition to that, the app is way easier to use and requires less navigating than my other bank apps. It is even easier to log in. Another benefit is that transactions are either cheaper or free. 

My most impressive experience for me so far was that I was able to reconvert an iTunes gift card I bought and never used back to cash on the app. I doubt even Apple does that. 😅

So 5 stars from this thrift gal. 🥰",Seamless,False,2021-01-06 02:15:39,Bee ☺️,"{'id': 20272441, 'body': 'We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at hi@flutterwavego.com!\n', 'modified': '2021-01-08T17:41:30Z'}",flutterwave
6,1,"Hi, I started using barter a while ago, but I can now see that there haven't been any good updates for this app yet.  It's frustrating 😡😡when I can receive unlimited payments and can only send 200,000 in one day that day, what if I have to pay someone a higher payment over 200,000?? Wait until next day!!! the first time I didn't know it was useless until I started using this app on a regular basis. This is so bad here and it would be great if you could update your system.  Now I just find one way to move 200,000 and everything I have through this app to my bank account every day as it is of no use to me.  I'll check back in a month or month if it's good I'll come back",200K Limits,False,2021-06-25 09:25:03,BKzZoom,"{'id': 24402753, 'body': ""Hi, we're so sorry for the inconvenience caused. Please write to hi@flutterwavego.com and our team will help resolve your issue quickly. Looking forward to hearing from you. "", 'modified': '2021-08-09T13:51:17Z'}",flutterwave
7,1,"I used to brag about this app to everyone but after the upgrade and they changed banks from the Microfinance bank to Wema it has been HELL, nothing seems to be functioning, can’t send money to my virtual account anymore cause my other banks can’t see it, all my online transactions and businesses have suffered cause of this ill fated boat of an app. 
Then the support team is ZERO!!!!!!! Sent mails to hi@flutterwave no response, called their contact number ever engaged, their WhatsApp completely GHOSTED, this is sad that an indigenous company that started with an alleged intention to help could treat us like MMM. Now I have money stuck in the app and can’t access it. Went looking for the company but like a ghost no where to be found.",Heartbroken,False,2019-11-29 19:14:33,theB0$$Lad¥,"{'id': 12128243, 'body': 'Hi, thank you for reaching out to us. We highly regret the inconvenience this has caused you. Here are our support numbers you can reach us on for further engagement;\n\n+2349072524281\n+2348170921889\n+2347068788082\n\nWe look forward to hearing from you. Thank you.', 'modified': '2019-11-29T22:33:07Z'}",flutterwave
8,3,"Please set an option for transferring money from our Naira account to our Barter US account. The only one available in your app is from Naira account to US debit card, which is wrong. We also need to transfer money to our Barter US account to be able to transfer money to a Barter User of different currency. And it’s also impossible to withdraw from the US debit card to our Barter US account, which gravely wrong. Please set an option for these",transferring money to our US account,False,2021-06-10 10:57:02,TheLordOfCruise,"{'id': 23341923, 'body': ""Hello, we truly appreciate this feedback, and we'll be sure to look into this, as we work to serve our customers better. Thank you. "", 'modified': '2021-06-12T09:20:25Z'}",flutterwave
9,2,"I’ve been on the app for awhile now. But every time I click on something it goes slow. I logged out of my account & when I tried to log back in. It says things like “request timed out” or “try again”. All of my information is correct. Even if you try to register for a new account or an account period, it takes forever & doesn’t go through. I’ve tried my safari browser, the app, & even on the computer. All said the same thing. Any suggestions or anything will do great. 😊",app runs soooo slow😭,False,2019-06-09 22:57:24,JarJar187,,flutterwave
10,5,"Please please please, I love this barter 
But my problem with it is when ever I want to sign in to my account. It asks for password
When I put my password it will say incorrect password, to do it is to delete the app and reinstall it again. It’s not nice at all",I have deleted this barter a millions times it keeps signing me out,False,2021-09-17 11:32:10,Nally587,"{'id': 25183217, 'body': 'Hi, we apologise for the inconvenience this experience may have caused you. Please contact us at hi@flutterwavego.com so that we can resolve your issue.', 'modified': '2021-09-18T20:36:44Z'}",flutterwave
11,5,"This app is the best for me and my business.
Simple and fast interface.
Dollar account in seconds.. that even works well with apple stire👏🏼👏🏼.
Ease of transfer to any account...
But still need clarity on the limits of funds on the account and how does one cash out from the wema account created automatically and why wema?.",Awesome,False,2020-07-24 10:03:35,Skindy2,"{'id': 16853134, 'body': 'Hello, We are pleased that you enjoyed the app. the WEMA account number attached to your account can only be used to fund your Barter account. There is a universal daily transfer limit of 50K NGN on barter. For more information, please write to us via hi@flutterwavego.com! Have a wonderful day!', 'modified': '2020-07-24T15:39:04Z'}",flutterwave
12,1,"To fund your account is so easy I mean easy, but to do any other thing it requires BvN endlessly, imagine bvn I use for all my bank accounts this app keeps telling me to go and update my details with my bank over and over again and keeps sending me verification codes to my email to confirm the BvN it did not approve. Please guys the stress is not worth it. My money is stuck in their account and I am unable to use it. That’s just how it is working with anything that has Nigeria involved. #sad",If this isn’t a scam then it isn’t reliable,False,2021-03-06 08:41:29,Miikkaa_el,"{'id': 21498681, 'body': ""Hi, we're sorry to hear that and we would love to take a look at the issue. Please reach out to our customer support team at hi@flutterwavego.com.\n"", 'modified': '2021-03-07T23:31:35Z'}",flutterwave
13,5,I put money inside the app there not letting me get it out they asked for bvn I provide it they told me to update my bvn detail I did that too today!! And it not still working I use the bvn for other app it worked I’m very tired of all this trash please leave my money ! 😡,This app is frustrating,False,2020-12-24 18:48:12,$-@&/-::,"{'id': 20216122, 'body': 'Hello, we apologize for this. Please send us your concern at hi@flutterwavego.com along with the screenshot of the error you receive. This will be handled with utmost priority.\n', 'modified': '2021-01-06T10:44:27Z'}",flutterwave
14,1,"Worst app among virtual wallets and virtual card apps. Always declining virtual card payments on every website by saying that the website is ""prohibited"" when it is not mentioned which websites are prohibited and which are not. I cant even use my OWN money. Slowest customer service. Live chat takes hours to respond. You should close live chat feature if you can't respond in a timely manner. DONT waste your time by using this app.",Worst virtual wallet/card app! Don't waste time!!! Better options are available,False,2019-12-26 13:49:27,ShahzaibA,"{'id': 12600372, 'body': 'Hi ShahzaibA, we regret the inconvenience this has caused you and would love to take a look at the issue reported. We reviewed your transactions and observed that transactions on certain sites were declined. Kindly note that acceptance of the payment method used by a customer on a merchant site is solely dependent on the merchant as some merchant will decline transactions based on your IP address or attempts from a virtual prepaid card. However, should the merchant accept payments via PayPal, we recommend that you create a PayPal account (U.S. account), link your card and proceed with your transactions. Thank you for your understanding.  ', 'modified': '2019-12-26T19:26:59Z'}",flutterwave
15,5,The GetBarter app is horrible it takes forever to send my money. Cash app is easier to be honest. Someone that works for this tried to bribe me with 300 dollars to leave a good review. His name is Max. It was a waste of time. Don’t even bother downloading this.,Terrible experience,False,2019-06-11 21:46:32,rockyxoxo23,,flutterwave
16,1,"I use to brag about how efficient and easy it was to use the app, until lately when I had to help a few people sign up. Slow customer service, not as straightforward as it was before. Why not let us know the minimum requirement for transactions on each platform so we can make a onetime deposit and focus on our transaction?? The UX update is terrible. I won’t recommend this app to anyone anymore.",It gets worse with each update,False,2020-06-01 20:23:27,successpage,"{'id': 15725226, 'body': 'We apologize for the difficulties you experienced while using our mobile app. If you would like some assistance or additional information, please contact us via hi@flutterwavego.com and we will be happy to help you further. \n\nWe look forward to your response.\n\nThank you,', 'modified': '2020-06-02T11:18:01Z'}",flutterwave
17,5,"I made a deposit of NGN31,000 to my barter flutterwave app but until today the Money didn’t reflect I also contacted the support team but they never replied back so awful losing my money to this great scamming company 😔😞😢",My funds are stolen,False,2021-07-25 07:48:57,joshman5028,"{'id': 24400762, 'body': 'Hi, We are truly sorry for all the trouble caused and would like to chat with you with regards to your experience with us. Can you provide us your customer ID at hi@flutterwavego.com so that we can reach out? Thank you.', 'modified': '2021-08-09T12:47:45Z'}",flutterwave
18,3,"What’s up with the dollar function not showing the exchange rate? It keeps buffering or loading.. I’ve deleted and reinstalled the app, let’s hope it works now.
That said, this app works when it works and it’s made many important dollar payments possible for me.",Fails a lot Lately,False,2020-12-19 05:36:05,Darklawyergirl,"{'id': 19883382, 'body': 'Hi, can you please send us your account details along with the screenshot of the problem to hi@flutterwavego.com so that we can help you. Thank you for using our app.\n', 'modified': '2020-12-20T23:10:23Z'}",flutterwave
19,1,"What is going on with this app? It was okay as usual the first time I used it but now I am trying to login, they are telling me there is no internet connection when every other app and website is opening just fine. My network is working just fine. What’s going on with your network? Please work on it and I don’t know why I am unable to login. 
Don’t skip this review please",This app isn’t logging me in,False,2020-07-14 09:30:18,Julietnwak,"{'id': 16626202, 'body': 'Hello Juliet, we will like to look into this. do you mind sharing details with us via email(hi@flutterwavego.com)? Thank you.', 'modified': '2020-07-14T16:22:07Z'}",flutterwave
20,4,"I’m enjoying the app so far, and it’s one of the best.
But I’m experiencing an issue, I’m trying to log into my account and it’s writing “Parse Error Data”

Please look into this and resolve this issue",Good... But there seems to be a problem,False,2021-01-04 13:59:58,HollyOlaMoore,"{'id': 20216129, 'body': 'Hello, we are very sorry to hear that you are not satisfied with the service. Please write to hi@flutterwavego.com and we will be happy to assist further.\n', 'modified': '2021-01-06T10:44:53Z'}",flutterwave
21,5,It makes sending money way easier . Paying bills and you can buy airtime! I like how you can transfer money from your bank about AWESOME,Impressed,False,2019-06-10 18:39:31,eshiababe,,flutterwave
22,4,Is it me or barter? I can not log in to the app. I can access my funds using a web browser. And yet I get push notifications on my iPhone. This is confusing. Please fix the app barter.,Unable to login,False,2019-03-17 11:39:20,Engiye,"{'id': 8475270, 'body': 'Hello Engiye, we appreciate your feedback and we would  to interact with you and investigate this issue further, kindly share with us your contact information to enable us speak with you or send a mail to hi@flutterwavego.com and a customer success representative would get in touch with you.', 'modified': '2019-05-02T10:20:18Z'}",flutterwave
23,4,I find it difficult to connect to my bank or make transfer,Need for improvement,False,2019-12-09 14:34:02,Ayodeji17,"{'id': 12300538, 'body': 'Hello Ayodeji. We will like to assist with this, share details with us via email (Hi@flutterwavego.com) to enable us further advise. ', 'modified': '2019-12-09T19:16:34Z'}",flutterwave
24,3,"The app has issues on iOS. Every time i want to add cash, I’ve to uninstall n reinstall the app. I click add cash, enter the amount and it starts loading with the logo and never goes beyond that. It’ll when I uninstall n install again.",iOS issues,False,2020-01-13 11:51:41,kimo254,"{'id': 12891781, 'body': ""Hi, we are sorry that you're having issues with the app. Can you write to us at hi@flutterwavego.com. Kindly include a description of the issue you are facing, your IOS version, and your app version. We will investigate immediately & solve the issue"", 'modified': '2020-01-13T18:56:58Z'}",flutterwave
25,3,"1. You are unable to generate a card statement from within the app. 

2. There should be an option that allows to move funds between cards on the account.

3. Unable to login with same app login details on the GetBarter website",3 Star for Me,False,2019-03-08 13:21:58,tobteks_,"{'id': 8475234, 'body': 'Hi Tobteks_, we appreciate your feedback, please be informed that the option to generate card statement within the application would be made available soon. However there is an option available for the transfer of funds between cards and the same login can be used on the application and the website. For further assistance kindly share with us your contact information or send a mail to hi@flutterwavego.com.', 'modified': '2019-05-02T10:17:41Z'}",flutterwave
26,5,"Very easy to understand, transfer is instant . I’ve been using this for almost a year now. Nice app.. great service !",Good for online payment,False,2019-09-06 17:57:21,chymelo,,flutterwave
27,5,Help me get back into my account please,How do I get back into my account because I’m in the count yesterday and now it won’t let me back in,False,2019-06-07 21:06:20,Blondie814,,flutterwave
